transaction_id,customer_id,email,phone,age,country,device_type,transaction_amount,hour_of_day,num_prev_txns,is_international,fraud
tx_000000,144921,user144921@example.com,+1-555-193-9668,24,IN,tablet,147.21,13,1,0,0
tx_000001,668225,user668225@example.com,+1-555-651-5156,70,NG,mobile,344.35,0,3,0,0
tx_000002,477571,user477571@example.com,+1-555-534-8241,62,GB,mobile,128.03,21,6,0,0
tx_000003,245168,user245168@example.com,+1-555-465-1116,47,BR,mobile,296.09,8,1,0,0
tx_000004,804246,user804246@example.com,+1-555-702-5252,47,DE,mobile,142.9,17,2,0,0
tx_000005,101741,user101741@example.com,+1-555-208-3221,76,DE,desktop,397.37,15,2,0,0
tx_000006,352156,user352156@example.com,+1-555-435-9573,23,CA,mobile,28.82,8,4,0,0
tx_000007,468894,user468894@example.com,+1-555-830-2787,65,BR,desktop,61.46,8,4,1,0
tx_000008,723179,user723179@example.com,+1-555-295-1447,31,US,mobile,176.99,13,2,0,0
tx_000009,304199,user304199@example.com,+1-555-286-2457,24,IN,mobile,109.69,9,2,1,0
tx_000010,147574,user147574@example.com,+1-555-571-1567,53,US,mobile,139.22,4,3,1,0
tx_000011,796526,user796526@example.com,+1-555-592-3838,84,US,desktop,321.07,17,4,0,0
tx_000012,174196,user174196@example.com,+1-555-708-9960,68,BR,mobile,136.74,16,7,0,0
tx_000013,522823,user522823@example.com,+1-555-955-9373,69,DE,tablet,255.19,14,5,0,0
tx_000014,701056,user701056@example.com,+1-555-611-6146,66,US,mobile,89.77,17,2,0,0
tx_000015,669005,user669005@example.com,+1-555-627-8478,71,NG,mobile,21.49,12,4,0,0
tx_000016,194524,user194524@example.com,+1-555-337-4598,52,BR,desktop,342.83,22,2,0,0
tx_000017,645634,user645634@example.com,+1-555-406-9018,26,FR,mobile,634.04,21,4,1,1
tx_000018,111199,user111199@example.com,+1-555-289-2890,75,BR,desktop,235.61,23,2,0,0
tx_000019,132662,user132662@example.com,+1-555-428-4628,48,US,mobile,184.86,2,2,0,0
tx_000020,312444,user312444@example.com,+1-555-737-2085,52,US,desktop,217.06,2,6,0,0
tx_000021,737195,user737195@example.com,+1-555-292-9428,43,BR,mobile,498.37,11,1,0,0
tx_000022,290666,user290666@example.com,+1-555-676-4043,30,US,tablet,237.75,16,1,0,0
tx_000023,843138,user843138@example.com,+1-555-974-3213,81,FR,mobile,354.76,5,3,0,1
tx_000024,224135,user224135@example.com,+1-555-674-2996,71,FR,desktop,343.68,2,2,0,0
tx_000025,524103,user524103@example.com,+1-555-716-5265,61,FR,mobile,421.01,0,2,0,0
tx_000026,532838,user532838@example.com,+1-555-226-5536,45,CA,desktop,181.68,13,6,0,0
tx_000027,623845,user623845@example.com,+1-555-503-7054,73,BR,desktop,126.54,23,3,0,0
tx_000028,442439,user442439@example.com,+1-555-906-8281,55,BR,desktop,298.5,11,4,0,0
tx_000029,229403,user229403@example.com,+1-555-398-7323,48,US,mobile,400.49,17,5,0,0
tx_000030,754649,user754649@example.com,+1-555-597-5432,48,CA,mobile,454.18,1,9,0,0
tx_000031,692845,user692845@example.com,+1-555-293-5820,33,US,desktop,540.49,5,4,0,1
tx_000032,690655,user690655@example.com,+1-555-401-9777,24,GB,mobile,375.58,16,2,0,0
tx_000033,945664,user945664@example.com,+1-555-512-5023,55,FR,desktop,120.54,9,2,0,0
tx_000034,897541,user897541@example.com,+1-555-170-3893,78,DE,mobile,235.4,0,2,0,0
tx_000035,740759,user740759@example.com,+1-555-988-6810,22,CA,mobile,219.79,5,4,0,1
tx_000036,491039,user491039@example.com,+1-555-764-7054,76,NG,mobile,201.71,19,1,0,0
tx_000037,113024,user113024@example.com,+1-555-527-9435,74,US,desktop,298.94,16,1,0,0
tx_000038,295558,user295558@example.com,+1-555-378-4169,36,CA,mobile,168.47,19,2,0,0
tx_000039,378479,user378479@example.com,+1-555-752-5586,60,US,mobile,168.67,8,4,0,0
tx_000040,366627,user366627@example.com,+1-555-448-6618,29,BR,desktop,659.97,22,1,0,1
tx_000041,958535,user958535@example.com,+1-555-842-7378,69,BR,mobile,189.35,22,0,0,0
tx_000042,157060,user157060@example.com,+1-555-486-1360,65,DE,desktop,418.9,8,2,0,0
tx_000043,701416,user701416@example.com,+1-555-823-9102,42,DE,mobile,435.84,4,3,0,0
tx_000044,536188,user536188@example.com,+1-555-765-2598,22,US,mobile,240.35,23,3,0,0
tx_000045,392223,user392223@example.com,+1-555-878-3026,84,DE,mobile,174.1,8,1,1,0
tx_000046,760783,user760783@example.com,+1-555-882-7248,48,US,mobile,93.23,11,3,0,0
tx_000047,640405,user640405@example.com,+1-555-550-2789,78,GB,desktop,39.27,22,4,0,0
tx_000048,858892,user858892@example.com,+1-555-482-2201,64,IN,mobile,314.6,6,2,0,0
tx_000049,246963,user246963@example.com,+1-555-735-9543,70,US,mobile,270.05,21,1,0,0
tx_000050,343878,user343878@example.com,+1-555-849-6786,69,US,mobile,348.48,3,2,0,0
tx_000051,932175,user932175@example.com,+1-555-979-9525,31,CA,desktop,133.63,7,1,1,0
tx_000052,883724,user883724@example.com,+1-555-991-1567,42,US,desktop,704.76,9,0,0,0
tx_000053,450978,user450978@example.com,+1-555-975-1319,49,FR,mobile,287.85,11,2,1,1
tx_000054,464343,user464343@example.com,+1-555-453-3514,51,CA,mobile,183.7,5,5,0,0
tx_000055,272882,user272882@example.com,+1-555-865-1345,20,IN,mobile,19.68,21,0,0,0
tx_000056,171791,user171791@example.com,+1-555-961-4946,55,FR,desktop,146.71,15,0,0,0
tx_000057,167424,user167424@example.com,+1-555-172-9652,28,NG,mobile,360.3,16,3,0,0
tx_000058,105671,user105671@example.com,+1-555-146-4211,68,IN,mobile,531.06,17,5,0,0
tx_000059,131480,user131480@example.com,+1-555-336-7589,64,FR,desktop,207.22,15,6,0,0
tx_000060,436877,user436877@example.com,+1-555-314-6817,80,US,mobile,590.24,15,2,0,0
tx_000061,680557,user680557@example.com,+1-555-180-1290,68,US,desktop,86.72,15,3,0,0
tx_000062,679191,user679191@example.com,+1-555-166-3088,42,NG,mobile,276.11,17,2,1,0
tx_000063,713290,user713290@example.com,+1-555-540-6669,83,IN,tablet,281.88,22,1,1,0
tx_000064,680042,user680042@example.com,+1-555-650-1828,45,DE,mobile,316.42,4,2,0,0
tx_000065,692689,user692689@example.com,+1-555-430-5115,40,US,mobile,229.7,12,1,0,1
tx_000066,446336,user446336@example.com,+1-555-453-7097,79,BR,mobile,265.07,4,1,0,0
tx_000067,382714,user382714@example.com,+1-555-544-4057,43,BR,mobile,84.77,4,0,0,0
tx_000068,482722,user482722@example.com,+1-555-296-3808,23,FR,desktop,496.83,22,3,0,0
tx_000069,813270,user813270@example.com,+1-555-843-7508,49,US,mobile,390.57,11,3,0,0
tx_000070,586920,user586920@example.com,+1-555-487-4769,72,US,mobile,257.4,16,2,0,0
tx_000071,855908,user855908@example.com,+1-555-367-5787,30,FR,desktop,396.98,17,1,0,0
tx_000072,397108,user397108@example.com,+1-555-889-2797,49,BR,mobile,507.66,0,2,0,0
tx_000073,642765,user642765@example.com,+1-555-625-8105,26,US,desktop,313.12,11,1,0,0
tx_000074,679086,user679086@example.com,+1-555-161-6397,64,US,desktop,755.44,4,2,0,0
tx_000075,653945,user653945@example.com,+1-555-626-9755,50,DE,mobile,332.04,7,4,0,0
tx_000076,195830,user195830@example.com,+1-555-447-7803,40,NG,desktop,97.7,4,1,0,0
tx_000077,273200,user273200@example.com,+1-555-172-6393,33,NG,desktop,247.82,15,2,0,0
tx_000078,659656,user659656@example.com,+1-555-325-6529,56,DE,desktop,407.83,3,2,0,0
tx_000079,872283,user872283@example.com,+1-555-639-3996,63,US,mobile,507.99,10,2,0,0
tx_000080,535304,user535304@example.com,+1-555-858-5008,81,US,mobile,233.42,7,2,1,0
tx_000081,176144,user176144@example.com,+1-555-327-7058,47,BR,desktop,90.69,23,3,0,0
tx_000082,882981,user882981@example.com,+1-555-575-5634,28,DE,mobile,171.08,18,5,0,0
tx_000083,822098,user822098@example.com,+1-555-221-9587,74,CA,mobile,56.56,8,3,0,0
tx_000084,829560,user829560@example.com,+1-555-425-5980,60,BR,mobile,356.68,7,4,0,0
tx_000085,476786,user476786@example.com,+1-555-235-1114,65,US,desktop,145.18,17,2,0,0
tx_000086,684452,user684452@example.com,+1-555-745-2136,24,US,desktop,112.18,15,3,0,0
tx_000087,188328,user188328@example.com,+1-555-721-1415,39,FR,desktop,381.53,13,2,0,0
tx_000088,123847,user123847@example.com,+1-555-392-9127,70,US,desktop,582.31,1,7,0,0
tx_000089,155260,user155260@example.com,+1-555-594-3836,74,US,mobile,111.74,1,8,0,0
tx_000090,483178,user483178@example.com,+1-555-201-8524,47,DE,mobile,234.58,15,1,0,0
tx_000091,989635,user989635@example.com,+1-555-613-5009,72,GB,mobile,176.92,11,2,0,0
tx_000092,149005,user149005@example.com,+1-555-803-9283,75,GB,mobile,523.98,19,1,0,0
tx_000093,612132,user612132@example.com,+1-555-704-5339,44,DE,mobile,193.5,0,2,0,0
tx_000094,780479,user780479@example.com,+1-555-661-8740,79,US,tablet,82.82,4,3,1,0
tx_000095,499954,user499954@example.com,+1-555-355-7044,37,BR,mobile,200.83,18,5,0,0
tx_000096,146964,user146964@example.com,+1-555-570-3395,34,CA,mobile,451.43,23,3,1,0
tx_000097,932882,user932882@example.com,+1-555-306-6188,64,US,mobile,168.65,17,4,1,0
tx_000098,908996,user908996@example.com,+1-555-258-3411,61,BR,mobile,122.35,0,4,0,0
tx_000099,516728,user516728@example.com,+1-555-437-2798,27,CA,mobile,186.69,1,3,0,0
tx_000100,856879,user856879@example.com,+1-555-385-3872,74,DE,mobile,85.37,21,3,1,0
tx_000101,862293,user862293@example.com,+1-555-143-3669,31,FR,mobile,176.73,11,8,0,0
tx_000102,686232,user686232@example.com,+1-555-695-5468,72,DE,mobile,130.51,11,2,0,0
tx_000103,868318,user868318@example.com,+1-555-434-6732,18,CA,desktop,846.82,23,5,1,1
tx_000104,729491,user729491@example.com,+1-555-277-9705,72,US,desktop,26.53,5,2,0,0
tx_000105,775056,user775056@example.com,+1-555-160-5222,71,DE,desktop,97.31,6,3,0,0
tx_000106,199464,user199464@example.com,+1-555-808-7847,71,IN,mobile,122.27,16,6,0,0
tx_000107,185603,user185603@example.com,+1-555-513-5418,63,BR,mobile,85.93,21,4,1,0
tx_000108,241588,user241588@example.com,+1-555-892-4903,50,DE,mobile,278.09,8,3,0,0
tx_000109,959182,user959182@example.com,+1-555-137-4710,65,CA,tablet,109.97,3,2,1,1
tx_000110,470888,user470888@example.com,+1-555-138-8880,36,US,mobile,50.27,1,1,0,0
tx_000111,664578,user664578@example.com,+1-555-298-2315,71,BR,mobile,218.97,0,0,0,0
tx_000112,616914,user616914@example.com,+1-555-662-3611,55,NG,tablet,160.84,8,3,0,0
tx_000113,467650,user467650@example.com,+1-555-763-7487,49,CA,tablet,114.64,12,3,0,0
tx_000114,738580,user738580@example.com,+1-555-565-3661,52,NG,mobile,515.14,11,2,0,0
tx_000115,789796,user789796@example.com,+1-555-352-1019,56,DE,desktop,284.98,5,6,0,0
tx_000116,959315,user959315@example.com,+1-555-894-2950,20,GB,mobile,262.13,16,4,0,0
tx_000117,166538,user166538@example.com,+1-555-520-1264,27,US,mobile,289.6,21,2,0,0
tx_000118,422481,user422481@example.com,+1-555-557-3631,34,BR,mobile,278.9,5,4,0,1
tx_000119,260635,user260635@example.com,+1-555-555-3940,25,DE,tablet,167.6,16,0,0,0
tx_000120,591802,user591802@example.com,+1-555-791-9578,47,FR,mobile,111.01,13,1,1,0
tx_000121,709856,user709856@example.com,+1-555-681-8271,63,US,desktop,222.68,16,2,0,0
tx_000122,261790,user261790@example.com,+1-555-514-2100,62,DE,mobile,165.11,0,5,0,0
tx_000123,666601,user666601@example.com,+1-555-424-2105,50,DE,desktop,26.05,16,3,0,0
tx_000124,145730,user145730@example.com,+1-555-139-9971,76,BR,desktop,78.94,17,2,1,0
tx_000125,571956,user571956@example.com,+1-555-531-7043,56,CA,desktop,148.52,16,0,0,0
tx_000126,977440,user977440@example.com,+1-555-487-6628,23,US,tablet,387.27,20,2,0,0
tx_000127,707141,user707141@example.com,+1-555-365-6295,70,IN,desktop,223.42,17,3,0,0
tx_000128,804020,user804020@example.com,+1-555-575-2347,57,CA,desktop,93.98,23,4,0,0
tx_000129,954907,user954907@example.com,+1-555-588-3379,61,CA,mobile,72.45,16,2,0,0
tx_000130,568328,user568328@example.com,+1-555-602-4890,56,FR,tablet,445.78,10,7,0,0
tx_000131,217271,user217271@example.com,+1-555-391-5016,55,US,mobile,173.92,20,3,0,0
tx_000132,625855,user625855@example.com,+1-555-165-9735,24,FR,mobile,3.56,16,1,1,0
tx_000133,408555,user408555@example.com,+1-555-624-1393,56,IN,mobile,182.95,13,5,1,0
tx_000134,960912,user960912@example.com,+1-555-226-1132,72,DE,mobile,330.64,13,5,0,1
tx_000135,364103,user364103@example.com,+1-555-325-9233,38,CA,mobile,70.26,8,7,0,0
tx_000136,574646,user574646@example.com,+1-555-753-8897,58,BR,mobile,210.65,14,2,0,0
tx_000137,941698,user941698@example.com,+1-555-530-3606,20,NG,mobile,226.15,11,0,0,0
tx_000138,774171,user774171@example.com,+1-555-441-3891,41,FR,tablet,74.52,3,3,0,0
tx_000139,268489,user268489@example.com,+1-555-882-6327,47,US,tablet,473.78,10,2,1,0
tx_000140,883299,user883299@example.com,+1-555-848-2818,84,US,mobile,229.14,22,5,0,0
tx_000141,431012,user431012@example.com,+1-555-910-8878,32,FR,tablet,147.89,7,1,0,0
tx_000142,738640,user738640@example.com,+1-555-633-3425,36,US,mobile,174.87,16,6,0,1
tx_000143,915266,user915266@example.com,+1-555-635-1539,45,BR,mobile,61.11,9,5,0,0
tx_000144,981462,user981462@example.com,+1-555-274-5794,85,US,desktop,58.51,6,5,0,0
tx_000145,703035,user703035@example.com,+1-555-970-7600,76,US,desktop,136.58,9,4,0,0
tx_000146,764753,user764753@example.com,+1-555-312-9605,20,NG,desktop,143.87,23,4,0,0
tx_000147,128044,user128044@example.com,+1-555-535-6623,33,NG,mobile,165.74,2,1,0,0
tx_000148,955402,user955402@example.com,+1-555-826-1916,73,NG,mobile,502.46,16,2,0,0
tx_000149,964191,user964191@example.com,+1-555-277-6960,21,IN,mobile,318.03,19,5,0,0
tx_000150,293372,user293372@example.com,+1-555-489-1832,76,DE,tablet,31.73,4,4,0,0
tx_000151,154126,user154126@example.com,+1-555-225-2747,37,FR,mobile,438.93,18,3,0,0
tx_000152,951594,user951594@example.com,+1-555-547-3669,80,CA,mobile,135.68,15,3,0,0
tx_000153,569706,user569706@example.com,+1-555-917-1499,37,CA,mobile,340.09,8,2,0,0
tx_000154,259499,user259499@example.com,+1-555-488-4292,47,CA,desktop,145.01,4,4,0,0
tx_000155,317917,user317917@example.com,+1-555-215-7902,63,DE,mobile,218.17,22,3,0,0
tx_000156,696074,user696074@example.com,+1-555-785-1483,26,GB,desktop,65.93,4,6,0,0
tx_000157,668679,user668679@example.com,+1-555-586-5462,55,BR,mobile,255.88,22,2,0,0
tx_000158,650330,user650330@example.com,+1-555-145-3036,52,IN,mobile,367.78,15,4,0,0
tx_000159,355260,user355260@example.com,+1-555-431-6096,71,NG,mobile,39.53,20,1,0,0
tx_000160,786260,user786260@example.com,+1-555-513-5430,85,DE,mobile,371.78,7,5,1,0
tx_000161,835817,user835817@example.com,+1-555-754-2494,63,IN,desktop,110.6,0,1,0,0
tx_000162,136892,user136892@example.com,+1-555-161-8672,45,IN,desktop,612.92,15,3,0,1
tx_000163,608669,user608669@example.com,+1-555-308-5503,45,CA,mobile,344.55,8,4,1,0
tx_000164,728198,user728198@example.com,+1-555-156-9870,46,IN,mobile,303.31,13,2,0,0
tx_000165,381613,user381613@example.com,+1-555-741-9861,73,CA,mobile,175.69,10,2,0,0
tx_000166,728662,user728662@example.com,+1-555-956-3259,39,DE,desktop,948.81,7,4,0,0
tx_000167,879055,user879055@example.com,+1-555-468-8946,29,GB,tablet,136.41,17,5,0,0
tx_000168,906779,user906779@example.com,+1-555-572-7475,40,US,desktop,80.71,12,2,0,0
tx_000169,799511,user799511@example.com,+1-555-514-4889,19,US,mobile,114.07,15,2,0,0
tx_000170,736295,user736295@example.com,+1-555-467-8335,25,NG,mobile,414.76,16,4,0,0
tx_000171,543824,user543824@example.com,+1-555-546-4783,24,FR,tablet,215.0,16,4,0,0
tx_000172,186325,user186325@example.com,+1-555-554-5431,70,CA,mobile,191.38,7,1,0,0
tx_000173,542099,user542099@example.com,+1-555-290-4345,67,CA,desktop,138.14,18,6,0,0
tx_000174,805913,user805913@example.com,+1-555-662-8591,65,GB,tablet,183.65,5,3,1,0
tx_000175,521090,user521090@example.com,+1-555-463-9159,49,FR,desktop,130.2,22,2,1,0
tx_000176,934821,user934821@example.com,+1-555-988-2361,66,DE,mobile,323.98,19,9,1,0
tx_000177,586063,user586063@example.com,+1-555-285-6307,28,US,mobile,162.7,13,5,0,1
tx_000178,106335,user106335@example.com,+1-555-345-2052,79,BR,tablet,115.95,4,4,1,0
tx_000179,872348,user872348@example.com,+1-555-809-8967,52,DE,mobile,391.0,21,1,0,0
tx_000180,499449,user499449@example.com,+1-555-313-2981,81,DE,desktop,83.19,13,2,0,0
tx_000181,166393,user166393@example.com,+1-555-838-1324,28,IN,mobile,217.32,19,4,0,0
tx_000182,719216,user719216@example.com,+1-555-114-7709,51,DE,desktop,25.82,0,5,0,0
tx_000183,449585,user449585@example.com,+1-555-269-6995,65,NG,desktop,53.59,8,5,0,0
tx_000184,805928,user805928@example.com,+1-555-464-4699,51,US,mobile,148.69,7,3,0,0
tx_000185,775113,user775113@example.com,+1-555-952-6571,48,US,mobile,128.18,19,0,0,0
tx_000186,953421,user953421@example.com,+1-555-328-7940,29,GB,mobile,128.01,11,1,0,0
tx_000187,967650,user967650@example.com,+1-555-230-2530,43,US,desktop,346.78,2,2,0,0
tx_000188,779019,user779019@example.com,+1-555-457-3740,34,GB,desktop,361.13,14,1,0,0
tx_000189,237838,user237838@example.com,+1-555-979-5369,38,DE,mobile,249.97,3,4,0,0
tx_000190,837235,user837235@example.com,+1-555-465-6697,64,DE,desktop,79.01,10,0,0,0
tx_000191,139123,user139123@example.com,+1-555-501-6522,60,US,tablet,182.52,23,2,0,0
tx_000192,513287,user513287@example.com,+1-555-473-5442,59,US,desktop,670.83,10,2,0,0
tx_000193,824588,user824588@example.com,+1-555-922-6952,42,BR,mobile,888.54,10,4,0,0
tx_000194,912106,user912106@example.com,+1-555-178-1189,83,IN,tablet,393.64,0,4,0,0
tx_000195,973369,user973369@example.com,+1-555-502-3911,23,US,desktop,82.01,11,2,0,0
tx_000196,213978,user213978@example.com,+1-555-588-6151,41,DE,mobile,183.8,22,0,0,0
tx_000197,743219,user743219@example.com,+1-555-876-3755,26,US,tablet,237.91,22,4,0,0
tx_000198,174440,user174440@example.com,+1-555-707-9473,41,US,mobile,211.91,23,3,1,0
tx_000199,598643,user598643@example.com,+1-555-285-9671,83,DE,tablet,422.39,8,3,0,0
tx_000200,414605,user414605@example.com,+1-555-950-4341,42,NG,desktop,336.14,1,3,0,0
tx_000201,310041,user310041@example.com,+1-555-807-3083,79,GB,desktop,77.84,5,3,0,0
tx_000202,773627,user773627@example.com,+1-555-129-3017,51,BR,mobile,118.42,5,2,0,0
tx_000203,962524,user962524@example.com,+1-555-207-4995,65,FR,mobile,392.5,1,3,0,0
tx_000204,412192,user412192@example.com,+1-555-333-9616,49,US,mobile,513.66,17,2,0,0
tx_000205,750043,user750043@example.com,+1-555-549-3128,36,BR,desktop,240.13,12,2,0,0
tx_000206,788576,user788576@example.com,+1-555-362-3979,69,US,desktop,556.79,17,2,0,0
tx_000207,724696,user724696@example.com,+1-555-189-6031,83,IN,mobile,220.19,4,4,0,0
tx_000208,398820,user398820@example.com,+1-555-121-6128,35,IN,mobile,91.4,16,1,0,0
tx_000209,893761,user893761@example.com,+1-555-748-6962,70,GB,desktop,314.94,1,0,0,0
tx_000210,735748,user735748@example.com,+1-555-105-7550,35,US,mobile,1147.01,17,3,0,1
tx_000211,888090,user888090@example.com,+1-555-543-8121,66,DE,mobile,61.6,19,3,0,0
tx_000212,321610,user321610@example.com,+1-555-480-5420,71,GB,mobile,542.79,6,2,0,0
tx_000213,172612,user172612@example.com,+1-555-495-1640,48,DE,desktop,302.39,7,3,0,0
